job_title_short,job_location,mean,min,max
Business Analyst,Atlanta,113731,60000,151950
Business Analyst,Austin,113774,57500,138500
Business Analyst,Chicago,114129,55000,118000
Business Analyst,Dallas,113530,50000,131085
Business Analyst,New York,114081,80000,142500
Data Analyst,Atlanta,114086,35000,245000
Data Analyst,Austin,114397,37500,375000
Data Analyst,Chicago,113733,36000,225000
Data Analyst,Dallas,113907,32500,185000
Data Analyst,New York,113188,42500,240000
Senior Data Analyst,Atlanta,115048,64000,200000
Senior Data Analyst,Austin,114620,90000,175000
Senior Data Analyst,Chicago,114952,82000,162500
Senior Data Analyst,Dallas,114844,71850,175000
Senior Data Analyst,New York,114934,60000,340000
